p,r2_train,rmse_train,mae_train,r2_test,rmse_test,mae_test,model,dataset
0.7,0.9360438020948899,0.05637749737604281,0.041961098819736226,0.918539261430886,0.06405822222600409,0.04821792064599935,LER,fyn-sh3
0.7,0.7083039144025374,0.12966898127428703,0.10402474399793335,0.7098696731453713,0.12988054100916757,0.10371301032706362,Additive,fyn-sh3
0.7,0.8959635236856569,0.07248647827757632,0.0560179032893714,0.8952991830255971,0.07308724541364389,0.0569496014216502,Pairwise,fyn-sh3
0.7,0.9999999999999996,0.0,0.0,0.9379283142570328,0.056301824746450124,0.042324594506913525,MEI,fyn-sh3
0.7,0.9684820742215666,0.03960751772306921,0.0276865821656059,0.949904597974644,0.05003016502701324,0.037231068840952994,VC,fyn-sh3
0.7,0.9084187764064321,0.06774389294228718,0.052288939632357964,0.9072529815322569,0.06842987924835121,0.0531752906319389,CN,fyn-sh3
0.7,0.9533665012728025,0.048100809879853164,0.035193262057521955,0.9171834330858755,0.06445103969411108,0.04890476933589472,LER,fyn-sh3
0.7,0.7083122785045157,0.1296132522747851,0.10387827434657865,0.7118004060616633,0.12897434755013093,0.1032858017560387,Additive,fyn-sh3
0.7,0.8953557196778372,0.07274032644397631,0.05630061783744293,0.8945415187117248,0.07328354755394638,0.057019739783033846,Pairwise,fyn-sh3
0.7,1.0,0.0,0.0,0.93726820786408,0.05584706370195321,0.04185161910790636,MEI,fyn-sh3
0.7,0.9626703061726216,0.043258243491438544,0.031225279654070695,0.9467672561872772,0.05101400589251703,0.03795308349708878,VC,fyn-sh3
0.7,0.9090410335042209,0.0678216987594111,0.05233866971355992,0.9056752097582884,0.06832156086902777,0.05298600749376277,CN,fyn-sh3
0.7,0.9518689218913198,0.04907176059640759,0.03579851709161548,0.9317224480037025,0.057849421108472875,0.04294488872376573,LER,fyn-sh3
0.7,0.7073886695783453,0.1305550448185327,0.10461398619209998,0.7135336574695967,0.1282960147886816,0.10276140568112568,Additive,fyn-sh3
0.7,0.8955262613216068,0.0730117747993198,0.05645822347163022,0.8926393678763872,0.07324410061038537,0.05693382929846694,Pairwise,fyn-sh3
0.95,1.0,0.0,0.0,0.9446351893991747,0.05300717781651548,0.039647963753121025,MEI,fyn-sh3
0.95,0.963960991150872,0.042350600903005325,0.03057811411804877,0.9498585684017824,0.050113764876467556,0.03665833548402755,VC,fyn-sh3
0.95,0.910794897228826,0.06691819229492957,0.05169370178331788,0.9080168547934893,0.06834780987741285,0.05241941683924322,CN,fyn-sh3
0.95,0.9533033214329398,0.04814103683914499,0.03507757525036678,0.9386023736226488,0.05556886638101164,0.04022054720412935,LER,fyn-sh3
0.95,0.7094777445200282,0.1295241968411956,0.10383982678523979,0.7049040982507081,0.13045707842966717,0.10412944737145982,Additive,fyn-sh3
0.95,0.8959620679256539,0.07260953925529781,0.056281419230214166,0.893333197229542,0.07402383021006814,0.05703180423099867,Pairwise,fyn-sh3
0.95,1.0,0.0,0.0,0.9420259841197395,0.05355038060846684,0.04025511309986432,MEI,fyn-sh3
0.95,0.9637386981868382,0.04252401469847032,0.03067184475411235,0.9488450490766761,0.04982435107585588,0.03737484002702713,VC,fyn-sh3
0.95,0.9109261768484622,0.06692975491479183,0.051691196464944945,0.9072966733610281,0.06717829210061824,0.05180317571923935,CN,fyn-sh3
0.95,0.9075851547020517,0.06823059832844502,0.05195619167954945,0.8946311897822451,0.07180038712804208,0.054787554384851944,LER,fyn-sh3
0.95,0.709666996170989,0.12951716043333958,0.10391724190583457,0.7036389400578371,0.1295058900964928,0.10277823609796725,Additive,fyn-sh3
0.95,0.896109351331658,0.07262048227865635,0.056302702162573624,0.8918264202519119,0.0728528645538073,0.056070430320679904,Pairwise,fyn-sh3
0.95,0.9999999999999996,0.0,0.0,0.9384901303104977,0.053537580926877625,0.039844441407206624,MEI,fyn-sh3
0.95,0.9637428153905812,0.042565932101982465,0.030759547842940566,0.9467013748497018,0.04971769824043458,0.03659337317469841,VC,fyn-sh3
0.95,0.9111097745782221,0.06693043297688003,0.05168519045636958,0.9053409647448675,0.0669230712058207,0.05183589063795481,CN,fyn-sh3
0.95,0.9365728775322885,0.05634783074143535,0.04210009517301518,0.9141718182034829,0.06359278088563186,0.047531130240602404,LER,fyn-sh3
0.95,0.7098437228231611,0.12966920178904764,0.10395496017699611,0.6959357239187886,0.12993326388623885,0.10449749377285202,Additive,fyn-sh3
0.95,0.8960035079244939,0.07274108689834775,0.056376842096442226,0.8909552008428873,0.07220611855969206,0.05624912450906306,Pairwise,fyn-sh3
