,p,r2_train,rmse_train,r2_test,rmse_test,model
41,0.04626065009182741,0.9882745239216966,0.1989924091851829,0.7072965739687797,0.9775867765518517,VC
42,0.04626065009182741,0.9879998051563036,0.201323092918174,0.5349003266655327,1.2356998609766647,CN
43,0.04626065009182741,0.9401972537271934,0.44914385976785076,0.8971438781505837,0.5774648625147508,LER
44,0.04626065009182741,0.9874697733494241,0.2009692000156729,,1.8006779851073325,MEI
45,0.04626065009182741,0.9879238646029402,0.19599342446670454,0.7062004106670545,0.9776414288330443,VC
46,0.04626065009182741,0.9876028120559774,0.19855872406284553,0.5361602678732303,1.2268284285456355,CN
47,0.04626065009182741,0.985622522570331,0.2140619545014603,0.8646533539385435,0.6679455785701038,LER
48,0.07708129020640686,0.9878256973720773,0.2002781165325544,0.6620313389768769,1.2521884589567873,MEI
49,0.07708129020640686,0.9883733747632794,0.19437084254853182,0.7871674248337028,0.8319619982814498,VC
50,0.07708129020640686,0.987979651070585,0.19760766025677998,0.6621273495108569,1.0469824962541676,CN
51,0.07708129020640686,0.9812831365661093,0.24676650670899106,0.8864125887287482,0.6095130464443542,LER
52,0.07708129020640686,0.9880944132311682,0.19827865251402535,,1.799474390818101,MEI
53,0.07708129020640686,0.9885427069852722,0.19325011979151913,0.7802040398163457,0.8454941890129996,VC
54,0.07708129020640686,0.9881604349443727,0.1963841685916131,0.6154052161162824,1.1201892914222125,CN
55,0.07708129020640686,0.9880257705434071,0.1977743228877413,0.8994775796872645,0.5751593862445633,LER
56,0.07708129020640686,0.9879201166202322,0.2037643289893974,,1.7968516127926852,MEI
57,0.07708129020640686,0.9879185728547049,0.20182868190275347,0.7544948159389469,0.9109098961055034,VC
58,0.07708129020640686,0.9879718418732594,0.20124051943966512,0.6097741874407302,1.1305098097694823,CN
59,0.07708129020640686,0.9746149300184708,0.29227196133531397,0.8818536378856299,0.625070865929462,LER
60,0.12843583667956207,0.9879901034189669,0.1997435299198141,0.7340597762314142,1.0880648814120863,MEI
61,0.12843583667956207,0.9884734667309957,0.19424382561356984,0.8381713640704773,0.7278436638327048,VC
62,0.12843583667956207,0.9878528554540649,0.19934033936341453,0.6893766769497662,1.0102893704237645,CN
63,0.12843583667956207,0.9879855137679461,0.19836466136533124,0.9158407709035166,0.5219143617868418,LER
64,0.12843583667956207,0.9878476793944948,0.19929686736771013,0.7391403489276881,1.0955186543860849,MEI
65,0.12843583667956207,0.9885795620496197,0.19200955875293466,0.8441946965900535,0.7131033472722856,VC
66,0.12843583667956207,0.9880131585636358,0.19659508940148426,0.6886966509601478,1.0088900824369917,CN
