d,cov,cor,d_jittered,seq
3,0.3164691563580475,0.08404769184193395,3.046042941189041,10100100
4,0.023567747057328666,0.006259108359495063,4.015936382647151,10100101
4,0.1439099241719514,0.03821951276071862,4.042841530595134,10100110
5,0.02807110192307932,0.007455106687949102,4.967448720334993,10100111
3,0.5266867304929919,0.13987715116106933,2.9482878579107767,10101000
4,0.23253725937103406,0.06175710815645035,4.034079725914081,10101001
4,0.17568030980738147,0.04665707303457035,3.959829516791308,10101010
5,0.059929057423033436,0.015915923714758546,4.96552251111249,10101011
4,0.20085367874230842,0.053342601505067845,3.977223374824133,10101100
5,-0.09198634273371599,-0.02442967863510495,5.000873957951253,10101101
5,0.028170077683967253,0.007481392612134138,4.9823003044373255,10101110
6,-0.0875609129121482,-0.02325437559391246,5.931252435329099,10101111
3,0.5266867304929919,0.13987715116106933,2.9678190798583555,10110000
4,0.23253725937103406,0.06175710815645035,3.8888298423887786,10110001
4,0.17568030980738147,0.04665707303457035,4.031261572551359,10110010
5,0.05992905742303346,0.015915923714758553,4.919897117219662,10110011
4,0.20085367874230842,0.053342601505067845,3.9447808330285774,10110100
5,-0.09198634273371598,-0.024429678635104948,5.002608253963048,10110101
5,0.028170077683967253,0.007481392612134138,4.963021850180434,10110110
6,-0.0875609129121482,-0.02325437559391246,6.077150729770337,10110111
4,0.4110148773027312,0.10915708863238102,3.9353571545138277,10111000
5,0.11716267455626408,0.0311159939875489,5.013352543467459,10111001
5,0.05992905742303344,0.015915923714758546,4.998035859088625,10111010
6,-0.05570578327689358,-0.014794309058582769,5.9415953251129405,10111011
5,0.16147758373970222,0.0428851214245336,5.026163833026588,10111100
6,-0.13132656993280958,-0.03487763296554284,5.991422683438888,10111101
6,-0.011261380033056403,-0.0029907906654334025,6.038589527560683,10111110
7,-0.12694429225593512,-0.03371379024548003,7.041175207698187,10111111
2,1.509799768068241,0.4009717316845119,2.1081617974640343,11000000
3,1.390641939653471,0.3693258659122788,3.0668263974718197,11000001
3,1.1771109158680855,0.3126164225897767,2.9815409081028776,11000010
4,1.1367475069209856,0.30189673225433794,3.9880310411212037,11000011
3,0.469550734320124,0.12470300700533982,3.0549829797943557,11000100
4,0.3533556749320893,0.09384399168331659,4.03276318653613,11000101
4,0.3219890672637344,0.08551366652374848,4.032006576304879,11000110
5,0.28233382550163955,0.07498205081151421,4.919152197784459,11000111
3,0.5266867304929915,0.13987715116106925,2.9987836937800534,11001000
4,0.4110148773027312,0.10915708863238102,3.9630984545397157,11001001
4,0.20085367874230836,0.05334260150506783,4.013996229952162,11001010
5,0.16147758373970203,0.042885121424533545,4.995092480517852,11001011
4,0.17568030980738136,0.04665707303457031,4.04550894540463,11001100
5,0.05992905742303348,0.015915923714758556,5.0158609107595655,11001101
5,0.028170077683967214,0.007481392612134128,5.0393163981054485,11001110
6,-0.01126138003305638,-0.002990790665433397,5.976679045163203,11001111
3,0.5266867304929913,0.1398771511610692,2.9527776872040876,11010000
4,0.4110148773027312,0.10915708863238102,3.9794975153398724,11010001
4,0.20085367874230842,0.053342601505067845,3.999148979306928,11010010
5,0.16147758373970214,0.04288512142453357,5.018957586777754,11010011
4,0.17568030980738136,0.04665707303457031,4.112965447534543,11010100
5,0.05992905742303345,0.01591592371475855,4.9978871424169675,11010101
5,0.028170077683967242,0.007481392612134135,4.952202749975362,11010110
6,-0.011261380033056387,-0.0029907906654333986,5.982700911215031,11010111
4,0.2325372593710342,0.06175710815645039,3.9768202012676954,11011000
